    Step    Atoms         tot[4]       pairc[4]           f[4]         mvv[4]         Volume         KinEng 
   25500     1000     -533.49637     -419.84739              0     -113.64898           1000       21627747 
   25600     1000     -583.59567     -475.24286              0      -108.3528           1000       21657213 
   25700     1000     -543.95026     -429.98165              0     -113.96861           1000       21703704 
   25800     1000     -549.60921     -439.94744              0     -109.66177           1000       21631755 
   25900     1000     -514.56116     -398.50472              0     -116.05643           1000       21817145 
   26000     1000     -537.50549     -439.81012              0     -97.695372           1000       21748649 
   26100     1000     -538.86729     -422.15986              0     -116.70743           1000       21650276 
   26200     1000     -539.82008     -437.35638              0      -102.4637           1000       21708574 
   26300     1000     -555.83684     -436.05132              0     -119.78552           1000       21593433 
   26400     1000     -578.82158     -465.50677              0     -113.31481           1000       21522514 
   26500     1000      -568.6158      -442.2518              0       -126.364           1000       21600700 
   26600     1000     -562.71383     -441.61012              0     -121.10371           1000       21525028 
   26700     1000     -513.44687     -405.89683              0     -107.55004           1000       21642289 
   26800     1000     -529.50523     -418.77741              0     -110.72782           1000       21536864 
   26900     1000     -536.50581      -420.8754              0     -115.63042           1000       21531798 
   27000     1000     -577.75326     -456.45826              0       -121.295           1000       21604781 
   27100     1000     -561.08839     -449.22095              0     -111.86744           1000       21586935 
   27200     1000     -542.90313     -438.40263              0      -104.5005           1000       21624319 
   27300     1000     -557.10003     -443.41113              0     -113.68889           1000       21564110 
   27400     1000     -598.44463     -478.63731              0     -119.80733           1000       21693453 
   27500     1000      -535.3838     -417.43788              0     -117.94592           1000       21727170 
   27600     1000     -505.09679     -400.73637              0     -104.36042           1000       21710069 
   27700     1000     -519.56526     -418.50385              0     -101.06141           1000       21742319 
   27800     1000     -521.06095     -417.81245              0      -103.2485           1000       21745543 
   27900     1000     -534.44835     -423.12258              0     -111.32577           1000       21701230 
   28000     1000      -534.4585     -422.36903              0     -112.08947           1000       21675193 
   28100     1000     -552.90917      -447.1125              0     -105.79668           1000       21658470 
   28200     1000     -531.70232     -431.00318              0     -100.69915           1000       21747683 
   28300     1000     -553.17833     -436.83079              0     -116.34753           1000       21688949 
   28400     1000     -552.82515     -442.03891              0     -110.78624           1000       21734015 
   28500     1000     -562.04694     -432.56527              0     -129.48166           1000       21799502 
   28600     1000      -580.4114     -447.96029              0     -132.45112           1000       21830934 
   28700     1000      -554.7302     -452.07743              0     -102.65277           1000       21898148 
   28800     1000     -558.56159     -438.26816              0     -120.29343           1000       21956641 
   28900     1000     -544.38489      -426.8423              0     -117.54259           1000       21786289 
   29000     1000     -592.79255     -482.25699              0     -110.53556           1000       21897021 
   29100     1000     -559.33823     -438.57326              0     -120.76496           1000       22156455 
   29200     1000       -563.951     -447.14812              0     -116.80287           1000       21803454 
   29300     1000     -544.63458     -433.89511              0     -110.73947           1000       21663072 
   29400     1000      -536.0228     -433.14703              0     -102.87576           1000       21722591 
   29500     1000     -532.67197     -440.94415              0     -91.727823           1000       21703962 
   29600     1000      -570.6952     -454.49875              0     -116.19645           1000       21755135 
   29700     1000     -544.51652      -434.3335              0     -110.18302           1000       21726194 
   29800     1000     -533.77027     -442.65013              0     -91.120143           1000       21754224 
   29900     1000     -518.17781     -417.61676              0     -100.56105           1000       21833310 
   30000     1000      -531.5652     -436.79745              0     -94.767754           1000       21873268 
   30100     1000     -505.88691     -400.97565              0     -104.91126           1000       21935659 
   30200     1000     -541.74529     -433.33256              0     -108.41273           1000       21732544 
   30300     1000     -553.53941     -445.68605              0     -107.85336           1000       21831416 
   30400     1000     -533.28216     -437.08675              0     -96.195415           1000       21828267 
   30500     1000     -555.08663     -444.61885              0     -110.46778           1000       21800155 
   30600     1000     -523.41829     -401.65632              0     -121.76197           1000       21852260 
   30700     1000     -561.38538     -444.52771              0     -116.85767           1000       21753387 
   30800     1000     -532.21075      -412.0401              0     -120.17065           1000       21617391 
   30900     1000     -528.95305     -411.53632              0     -117.41673           1000       21637115 
   31000     1000     -554.39787     -448.80202              0     -105.59585           1000       21674069 
   31100     1000     -544.50565      -437.1423              0     -107.36334           1000       21654065 
   31200     1000     -580.07496     -461.80922              0     -118.26574           1000       21751509 
   31300     1000     -553.46126     -428.70322              0     -124.75804           1000       21948651 
   31400     1000     -598.10498     -478.26972              0     -119.83527           1000       21819784 
   31500     1000      -558.0332     -444.92021              0     -113.11299           1000       21773613 
   31600     1000     -572.49666     -461.70483              0     -110.79183           1000       21753451 
   31700     1000     -556.44406     -432.46078              0     -123.98329           1000       21892670 
   31800     1000     -550.81745      -445.0717              0     -105.74575           1000       21988090 
   31900     1000      -544.4836     -431.89234              0     -112.59126           1000       21966584 
   32000     1000     -557.68582     -453.24738              0     -104.43844           1000       22025335 
   32100     1000     -564.10386     -448.22044              0     -115.88342           1000       21963702 
   32200     1000      -545.9103     -441.98608              0     -103.92422           1000       21899005 
   32300     1000     -558.08793      -444.3194              0     -113.76853           1000       21811378 
   32400     1000     -528.52257     -429.40366              0     -99.118902           1000       21787672 
   32500     1000     -500.22613     -391.58971              0     -108.63642           1000       21696046 
   32600     1000     -555.64191     -436.22791              0     -119.41399           1000       21717627 
   32700     1000     -575.18966     -450.30304              0     -124.88662           1000       21848262 
   32800     1000     -559.18761     -448.36189              0     -110.82572           1000       22058613 
   32900     1000     -570.45475     -450.84143              0     -119.61332           1000       21882562 
   33000     1000     -565.82039     -458.03502              0     -107.78537           1000       21830865 
   33100     1000     -574.39707     -464.43605              0     -109.96102           1000       21822456 
   33200     1000     -581.86551     -465.94966              0     -115.91585           1000       21927294 
   33300     1000     -573.91165     -446.44107              0     -127.47058           1000       22011437 
   33400     1000     -563.08597     -447.82734              0     -115.25863           1000       22094442 
   33500     1000     -569.93966     -460.26495              0     -109.67472           1000       22039189 
   33600     1000     -554.25917     -461.71599              0      -92.54318           1000       21954158 
   33700     1000      -547.0108      -448.0353              0     -98.975502           1000       21950265 
   33800     1000     -568.51564     -455.11028              0     -113.40537           1000       21936591 
   33900     1000     -589.76562       -461.692              0     -128.07361           1000       21964840 
   34000     1000     -565.70455     -462.46852              0     -103.23604           1000       21987485 
   34100     1000     -545.67581     -437.57847              0     -108.09734           1000       21829876 
